lineage	wald_test	p-value
MDS1	2.4159590041792613	0.01569382820043308
MDS2	2.320428448627692	0.02031771141126537
MDS4	1.7856198694521803	0.07416082752688635
MDS6	1.2256575060664556	0.22032758761490157
MDS10	1.038081213708299	0.2992322467903479
MDS8	0.9607311207507131	0.3366873792698972
MDS7	0.9069867068267855	0.36441382690707025
MDS9	0.7791241494651505	0.43590658567825935
MDS3	0.5644383334716259	0.5724558568143672
MDS5	0.08278263194018262	0.9340243794240219
